insertId,jsonPayload.apiVersion,jsonPayload.eventTime,jsonPayload.involvedObject.apiVersion,jsonPayload.involvedObject.fieldPath,jsonPayload.involvedObject.kind,jsonPayload.involvedObject.name,jsonPayload.involvedObject.namespace,jsonPayload.involvedObject.resourceVersion,jsonPayload.involvedObject.uid,jsonPayload.kind,jsonPayload.message,jsonPayload.metadata.creationTimestamp,jsonPayload.metadata.managedFields,jsonPayload.metadata.name,jsonPayload.metadata.namespace,jsonPayload.metadata.resourceVersion,jsonPayload.metadata.selfLink,jsonPayload.metadata.uid,jsonPayload.reason,jsonPayload.reportingComponent,jsonPayload.reportingInstance,jsonPayload.source.component,jsonPayload.source.host,jsonPayload.type,logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp
dbwv5vfokx3yx,v1,,v1,spec.containers{csi-driver-registrar},Pod,pdcsi-node-n4vnt,kube-system,13522,b4dc2126-2d28-4804-aaaa-5b407fb39095,Event,"Successfully pulled image ""gke.gcr.io/csi-node-driver-registrar:v1.3.0-gke.0""",2021-04-30T01:41:08Z,[object Object],pdcsi-node-n4vnt.167a7f323223d43c,kube-system,459,/api/v1/namespaces/kube-system/events/pdcsi-node-n4vnt.167a7f323223d43c,0047e881-82ed-41a0-8ce4-5ccd21d9591e,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,pdcsi-node-n4vnt,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:09Z
dbwv5vfokx3yw,v1,,v1,spec.containers{gke-metrics-agent},Pod,gke-metrics-agent-vtnp4,kube-system,13520,d6cfa566-6717-455c-bcd6-40716eb9bb70,Event,Started container gke-metrics-agent,2021-04-30T01:41:05Z,[object Object],gke-metrics-agent-vtnp4.167a7f3185300a58,kube-system,458,/api/v1/namespaces/kube-system/events/gke-metrics-agent-vtnp4.167a7f3185300a58,85f134ed-877f-4854-ac57-578475f2c497,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,gke-metrics-agent-vtnp4,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:06Z
dbwv5vfokx3yv,v1,,v1,spec.containers{gke-metrics-agent},Pod,gke-metrics-agent-vtnp4,kube-system,13520,d6cfa566-6717-455c-bcd6-40716eb9bb70,Event,Created container gke-metrics-agent,2021-04-30T01:41:05Z,[object Object],gke-metrics-agent-vtnp4.167a7f317ef90d0a,kube-system,457,/api/v1/namespaces/kube-system/events/gke-metrics-agent-vtnp4.167a7f317ef90d0a,2a4bb6a5-76e4-4d4a-90ff-efd42f79d65f,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,gke-metrics-agent-vtnp4,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:06Z
dbwv5vfokx3yu,v1,,v1,spec.containers{gke-metrics-agent},Pod,gke-metrics-agent-vtnp4,kube-system,13520,d6cfa566-6717-455c-bcd6-40716eb9bb70,Event,"Successfully pulled image ""gke.gcr.io/gke-metrics-agent:0.3.5-gke.0""",2021-04-30T01:41:05Z,[object Object],gke-metrics-agent-vtnp4.167a7f317495ce6d,kube-system,456,/api/v1/namespaces/kube-system/events/gke-metrics-agent-vtnp4.167a7f317495ce6d,8062b37a-fdf8-4c77-942b-cdf20b232784,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,gke-metrics-agent-vtnp4,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:06Z
dbwv5vfokx3yt,v1,,v1,spec.containers{metrics-server-nanny},Pod,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kube-system,13518,b0f25404-f3f4-47a8-896c-f2e11cdc7999,Event,Created container metrics-server-nanny,2021-04-30T01:41:04Z,[object Object],metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f314ee621ab,kube-system,455,/api/v1/namespaces/kube-system/events/metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f314ee621ab,5e652b2b-0496-4b11-8e33-dc9d16710673,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:05Z
dbwv5vfokx3ys,v1,,v1,spec.containers{metrics-server-nanny},Pod,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kube-system,13518,b0f25404-f3f4-47a8-896c-f2e11cdc7999,Event,"Container image ""gke.gcr.io/addon-resizer:1.8.11-gke.0"" already present on machine",2021-04-30T01:41:03Z,[object Object],metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f3104123e1d,kube-system,454,/api/v1/namespaces/kube-system/events/metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f3104123e1d,da2babed-0447-4451-ac8c-621254d0e75d,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:04Z
dbwv5vfokx3yr,v1,,v1,spec.containers{metrics-server},Pod,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kube-system,13518,b0f25404-f3f4-47a8-896c-f2e11cdc7999,Event,Started container metrics-server,2021-04-30T01:41:03Z,[object Object],metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f310386c9f6,kube-system,453,/api/v1/namespaces/kube-system/events/metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f310386c9f6,27ce85d4-df50-4bfc-b553-948af5c298cf,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:04Z
dbwv5vfokx3yq,v1,,v1,spec.containers{dnsmasq},Pod,kube-dns-6465f78586-zfgvc,kube-system,13510,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,"Pulling image ""gke.gcr.io/k8s-dns-dnsmasq-nanny-amd64:1.15.16-gke.0""",2021-04-30T01:41:01Z,[object Object],kube-dns-6465f78586-zfgvc.167a7f3073a908bd,kube-system,452,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167a7f3073a908bd,403cf90e-8132-4f83-8951-e4526460f65a,Pulling,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:02Z
dbwv5vfokx3yp,v1,,v1,spec.containers{kubedns},Pod,kube-dns-6465f78586-zfgvc,kube-system,13510,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,Started container kubedns,2021-04-30T01:41:01Z,[object Object],kube-dns-6465f78586-zfgvc.167a7f30738e19f3,kube-system,451,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167a7f30738e19f3,efa2f6d8-7e93-4d8c-9800-33ca2e5cd944,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:02Z
dbwv5vfokx3yo,v1,,v1,spec.containers{kubedns},Pod,kube-dns-6465f78586-zfgvc,kube-system,13510,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,Created container kubedns,2021-04-30T01:41:00Z,[object Object],kube-dns-6465f78586-zfgvc.167a7f305b0bfa2f,kube-system,450,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167a7f305b0bfa2f,b0eae996-3e3e-4678-b78b-5f5ec33826f9,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:01Z
